Index,Currency,Country,Date,Price level (local),revenue,R t-1,R t-2,R t-3,R t-4,R t-5,DOW,TAX,after_holiday,afterAccidentDays,super,,,,,
Israel TA-125,ILS,Israel,07/04/1994 00:00,220.23,0.022470867,0.000789889,0.034363435,0,0,-0.013278323,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,10/04/1994 00:00,220.23,0,0.022470867,0.000789889,0.034363435,0,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,11/04/1994 00:00,221.14,0.004132044,0,0.022470867,0.000789889,0.034363435,0,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,12/04/1994 00:00,222.81,0.007551777,0.004132044,0,0.022470867,0.000789889,0.034363435,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,17/04/1994 00:00,222.81,0,0.007551777,0.004132044,0,0.022470867,0.000789889,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,18/04/1994 00:00,218.99,-0.017144652,0,0.007551777,0.004132044,0,0.022470867,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,19/04/1994 00:00,219.67,0.003105165,-0.017144652,0,0.007551777,0.004132044,0,Tuesday,0,1,0,0,,,,,
Israel TA-125,ILS,Israel,20/04/1994 00:00,216.56,-0.0141576,0.003105165,-0.017144652,0,0.007551777,0.004132044,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,21/04/1994 00:00,216.81,0.001154414,-0.0141576,0.003105165,-0.017144652,0,0.007551777,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,24/04/1994 00:00,216.81,0,0.001154414,-0.0141576,0.003105165,-0.017144652,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,25/04/1994 00:00,215.52,-0.00594991,0,0.001154414,-0.0141576,0.003105165,-0.017144652,Monday,0,0,0,-1,,,,,
Israel TA-125,ILS,Israel,26/04/1994 00:00,215.24,-0.001299183,-0.00594991,0,0.001154414,-0.0141576,0.003105165,Tuesday,0,0,1,1,,,,,
Israel TA-125,ILS,Israel,27/04/1994 00:00,217.84,0.012079539,-0.001299183,-0.00594991,0,0.001154414,-0.0141576,Wednesday,0,0,2,2,,,,,
Israel TA-125,ILS,Israel,28/04/1994 00:00,220.53,0.012348513,0.012079539,-0.001299183,-0.00594991,0,0.001154414,Thursday,0,0,3,3,,,,,
Israel TA-125,ILS,Israel,01/05/1994 00:00,220.53,0,0.012348513,0.012079539,-0.001299183,-0.00594991,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,02/05/1994 00:00,228.77,0.037364531,0,0.012348513,0.012079539,-0.001299183,-0.00594991,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,03/05/1994 00:00,227.23,-0.006731652,0.037364531,0,0.012348513,0.012079539,-0.001299183,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,04/05/1994 00:00,225.34,-0.008317564,-0.006731652,0.037364531,0,0.012348513,0.012079539,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,05/05/1994 00:00,223.13,-0.009807402,-0.008317564,-0.006731652,0.037364531,0,0.012348513,Thursday,0,0,0,0,,,,,
